,YEAR,MONTH,DAY,TIME_PST,FLAG_DAY_TIME,SURF_TEMP_C,FLAG_TEMP
170,1975,6,20,NaN,NaN,10.5,NaN
171,1975,6,21,NaN,NaN,NaN,NaN
172,1975,6,22,NaN,NaN,NaN,NaN
173,1975,6,23,NaN,NaN,11.0,NaN
174,1975,6,24,NaN,NaN,11.6,NaN
175,1975,6,25,NaN,NaN,13.8,NaN
176,1975,6,26,NaN,NaN,11.5,NaN
177,1975,6,27,NaN,NaN,10.8,NaN
178,1975,6,28,NaN,NaN,11.0,NaN
179,1975,6,29,NaN,NaN,10.8,NaN
180,1975,6,30,NaN,NaN,10.0,NaN
181,1975,7,1,NaN,NaN,12.0,NaN
182,1975,7,2,NaN,NaN,12.0,NaN
183,1975,7,3,NaN,NaN,10.1,NaN
184,1975,7,4,NaN,NaN,NaN,NaN
185,1975,7,5,NaN,NaN,13.0,NaN
186,1975,7,6,NaN,NaN,14.0,NaN
187,1975,7,7,NaN,NaN,NaN,NaN
188,1975,7,8,NaN,NaN,11.5,NaN
189,1975,7,9,NaN,NaN,11.6,NaN
190,1975,7,10,NaN,NaN,NaN,NaN
191,1975,7,11,NaN,NaN,NaN,NaN
192,1975,7,12,NaN,NaN,11.4,NaN
193,1975,7,13,NaN,NaN,11.7,NaN
194,1975,7,14,NaN,NaN,11.5,NaN
195,1975,7,15,NaN,NaN,NaN,NaN
196,1975,7,16,NaN,NaN,12.9,NaN
197,1975,7,17,NaN,NaN,NaN,NaN
198,1975,7,18,NaN,NaN,12.1,NaN
199,1975,7,19,NaN,NaN,11.0,NaN
200,1975,7,20,NaN,NaN,NaN,NaN
201,1975,7,21,NaN,NaN,14.0,NaN
202,1975,7,22,NaN,NaN,11.2,NaN
203,1975,7,23,NaN,NaN,12.9,NaN
204,1975,7,24,NaN,NaN,12.0,NaN
205,1975,7,25,NaN,NaN,NaN,NaN
206,1975,7,26,NaN,NaN,NaN,NaN
207,1975,7,27,NaN,NaN,11.8,NaN
208,1975,7,28,NaN,NaN,12.0,NaN
209,1975,7,29,NaN,NaN,11.5,NaN
210,1975,7,30,NaN,NaN,10.4,NaN
211,1975,7,31,NaN,NaN,9.5,NaN
212,1975,8,1,NaN,NaN,10.0,NaN
213,1975,8,2,NaN,NaN,NaN,NaN
214,1975,8,3,NaN,NaN,10.7,NaN
215,1975,8,4,NaN,NaN,11.0,NaN
216,1975,8,5,NaN,NaN,9.2,NaN
217,1975,8,6,NaN,NaN,9.8,NaN
218,1975,8,7,NaN,NaN,11.0,NaN
219,1975,8,8,NaN,NaN,10.0,NaN
220,1975,8,9,NaN,NaN,11.0,NaN
221,1975,8,10,NaN,NaN,10.0,NaN
222,1975,8,11,NaN,NaN,10.8,NaN
223,1975,8,12,NaN,NaN,11.8,NaN
224,1975,8,13,NaN,NaN,11.8,NaN
225,1975,8,14,NaN,NaN,11.5,NaN
226,1975,8,15,NaN,NaN,12.0,NaN
227,1975,8,16,NaN,NaN,12.0,NaN
228,1975,8,17,NaN,NaN,NaN,NaN
229,1975,8,18,NaN,NaN,13.2,NaN
230,1975,8,19,NaN,NaN,11.7,NaN
231,1975,8,20,NaN,NaN,NaN,NaN
232,1975,8,21,NaN,NaN,11.8,NaN
233,1975,8,22,NaN,NaN,11.2,NaN
234,1975,8,23,NaN,NaN,11.5,NaN
235,1975,8,24,NaN,NaN,11.2,NaN
236,1975,8,25,NaN,NaN,10.4,NaN
237,1975,8,26,NaN,NaN,11.2,NaN
238,1975,8,27,NaN,NaN,NaN,NaN
239,1975,8,28,NaN,NaN,NaN,NaN
240,1975,8,29,NaN,NaN,13.0,NaN
241,1975,8,30,NaN,NaN,12.2,NaN
242,1975,8,31,NaN,NaN,NaN,NaN
243,1975,9,1,NaN,NaN,12.0,NaN
244,1975,9,2,NaN,NaN,12.0,NaN
245,1975,9,3,NaN,NaN,11.8,NaN
246,1975,9,4,NaN,NaN,12.0,NaN
247,1975,9,5,NaN,NaN,13.5,NaN
248,1975,9,6,NaN,NaN,13.7,NaN
249,1975,9,7,NaN,NaN,13.0,NaN
