,DATE,SURF_TEMP_C,YEAR,MONTH,DAY
411,1/20/1958,15.3,1958,1,20
412,1/21/1958,15.3,1958,1,21
413,1/22/1958,15.1,1958,1,22
414,1/23/1958,16,1958,1,23
415,1/24/1958,15.3,1958,1,24
416,1/25/1958,16.2,1958,1,25
417,1/26/1958,16,1958,1,26
418,1/27/1958,16.1,1958,1,27
419,1/28/1958,15.8,1958,1,28
420,1/29/1958,15.9,1958,1,29
421,1/30/1958,15.8,1958,1,30
422,1/31/1958,15.7,1958,1,31
423,2/1/1958,15.6,1958,2,1
424,2/2/1958,15.7,1958,2,2
425,2/3/1958,15.7,1958,2,3
426,2/4/1958,15.9,1958,2,4
427,2/5/1958,15.9,1958,2,5
428,2/6/1958,15.9,1958,2,6
429,2/7/1958,16,1958,2,7
430,2/8/1958,15.9,1958,2,8
431,2/9/1958,16.1,1958,2,9
432,2/10/1958,16,1958,2,10
433,2/11/1958,16.1,1958,2,11
434,2/12/1958,16.1,1958,2,12
435,2/13/1958,16.2,1958,2,13
436,2/14/1958,16,1958,2,14
437,2/15/1958,15.8,1958,2,15
438,2/16/1958,15.9,1958,2,16
439,2/17/1958,15.7,1958,2,17
440,2/18/1958,15.9,1958,2,18
441,2/19/1958,15.9,1958,2,19
442,2/20/1958,15.6,1958,2,20
443,2/21/1958,16,1958,2,21
444,2/22/1958,15.8,1958,2,22
445,2/23/1958,16,1958,2,23
446,2/24/1958,15.8,1958,2,24
447,2/25/1958,15.3,1958,2,25
448,2/26/1958,15,1958,2,26
449,2/27/1958,14.8,1958,2,27
450,2/28/1958,14.5,1958,2,28
451,3/1/1958,14,1958,3,1
452,3/2/1958,14.1,1958,3,2
453,3/3/1958,14.3,1958,3,3
454,3/4/1958,14.8,1958,3,4
455,3/5/1958,14.9,1958,3,5
456,3/6/1958,14.9,1958,3,6
457,3/7/1958,14.4,1958,3,7
458,3/8/1958,14.4,1958,3,8
459,3/9/1958,13.9,1958,3,9
460,3/10/1958,14.3,1958,3,10
461,3/11/1958,14.3,1958,3,11
462,3/12/1958,14.5,1958,3,12
463,3/13/1958,14.1,1958,3,13
464,3/14/1958,14.2,1958,3,14
465,3/15/1958,13.5,1958,3,15
466,3/16/1958,15,1958,3,16
467,3/17/1958,14.1,1958,3,17
468,3/18/1958,14.6,1958,3,18
469,3/19/1958,14.9,1958,3,19
470,3/20/1958,14.5,1958,3,20
471,3/21/1958,14.8,1958,3,21
472,3/22/1958,15.3,1958,3,22
473,3/23/1958,15.3,1958,3,23
474,3/24/1958,15.2,1958,3,24
475,3/25/1958,14.8,1958,3,25
476,3/26/1958,14.8,1958,3,26
477,3/27/1958,15,1958,3,27
478,3/28/1958,NaN,1958,3,28
479,3/29/1958,NaN,1958,3,29
480,3/30/1958,NaN,1958,3,30
481,3/31/1958,NaN,1958,3,31
482,4/1/1958,NaN,1958,4,1
483,4/2/1958,NaN,1958,4,2
484,4/3/1958,NaN,1958,4,3
485,4/4/1958,NaN,1958,4,4
486,4/5/1958,NaN,1958,4,5
487,4/6/1958,NaN,1958,4,6
488,4/7/1958,14.4,1958,4,7
489,4/8/1958,13.9,1958,4,8
490,4/9/1958,14.4,1958,4,9
491,4/10/1958,14.4,1958,4,10
492,4/11/1958,14.4,1958,4,11
493,4/12/1958,15,1958,4,12
494,4/13/1958,15,1958,4,13
495,4/14/1958,16.7,1958,4,14
496,4/15/1958,17.8,1958,4,15
497,4/16/1958,17.2,1958,4,16
498,4/17/1958,17.8,1958,4,17
499,4/18/1958,17.8,1958,4,18
500,4/19/1958,18.3,1958,4,19
501,4/20/1958,18.3,1958,4,20
502,4/21/1958,17.4,1958,4,21
503,4/22/1958,17.3,1958,4,22
504,4/23/1958,17.6,1958,4,23
505,4/24/1958,17.5,1958,4,24
506,4/25/1958,16.4,1958,4,25
507,4/26/1958,17.8,1958,4,26
508,4/27/1958,17.7,1958,4,27
509,4/28/1958,17.3,1958,4,28
510,4/29/1958,16.9,1958,4,29
511,4/30/1958,17.4,1958,4,30
512,5/1/1958,17.5,1958,5,1
513,5/2/1958,16.5,1958,5,2
514,5/3/1958,NaN,1958,5,3
515,5/4/1958,NaN,1958,5,4
516,5/5/1958,15.4,1958,5,5
517,5/6/1958,15.2,1958,5,6
518,5/7/1958,15.4,1958,5,7
519,5/8/1958,15.4,1958,5,8
520,5/9/1958,15.1,1958,5,9
521,5/10/1958,15.4,1958,5,10
522,5/11/1958,NaN,1958,5,11
523,5/12/1958,15.8,1958,5,12
524,5/13/1958,15.6,1958,5,13
525,5/14/1958,16.7,1958,5,14
526,5/15/1958,16.4,1958,5,15
527,5/16/1958,16.1,1958,5,16
528,5/17/1958,16.2,1958,5,17
529,5/18/1958,16,1958,5,18
530,5/19/1958,16.2,1958,5,19
531,5/20/1958,16.3,1958,5,20
532,5/21/1958,16.5,1958,5,21
533,5/22/1958,16.6,1958,5,22
534,5/23/1958,14.3,1958,5,23
535,5/24/1958,14.5,1958,5,24
536,5/25/1958,14.5,1958,5,25
537,5/26/1958,14.3,1958,5,26
538,5/27/1958,14.5,1958,5,27
539,5/28/1958,13.4,1958,5,28
540,5/29/1958,14.7,1958,5,29
541,5/30/1958,14.6,1958,5,30
542,5/31/1958,16,1958,5,31
543,6/1/1958,NaN,1958,6,1
544,6/2/1958,15.6,1958,6,2
545,6/3/1958,15,1958,6,3
546,6/4/1958,16,1958,6,4
547,6/5/1958,16.5,1958,6,5
548,6/6/1958,15.9,1958,6,6
549,6/7/1958,15.5,1958,6,7
550,6/8/1958,15.7,1958,6,8
551,6/9/1958,15.7,1958,6,9
552,6/10/1958,15.9,1958,6,10
553,6/11/1958,15,1958,6,11
554,6/12/1958,16.3,1958,6,12
555,6/13/1958,15.4,1958,6,13
556,6/14/1958,14.6,1958,6,14
557,6/15/1958,NaN,1958,6,15
558,6/16/1958,16.1,1958,6,16
559,6/17/1958,16,1958,6,17
560,6/18/1958,16.2,1958,6,18
561,6/19/1958,17.8,1958,6,19
562,6/20/1958,17,1958,6,20
563,6/21/1958,16,1958,6,21
564,6/22/1958,16.2,1958,6,22
565,6/23/1958,16.4,1958,6,23
566,6/24/1958,16.2,1958,6,24
567,6/25/1958,16.5,1958,6,25
568,6/26/1958,16.9,1958,6,26
569,6/27/1958,17.5,1958,6,27
570,6/28/1958,17.5,1958,6,28
571,6/29/1958,NaN,1958,6,29
572,6/30/1958,15.4,1958,6,30
573,7/1/1958,15.1,1958,7,1
574,7/2/1958,14.9,1958,7,2
575,7/3/1958,14.5,1958,7,3
576,7/4/1958,16.2,1958,7,4
577,7/5/1958,16.5,1958,7,5
578,7/6/1958,16.4,1958,7,6
579,7/7/1958,15.6,1958,7,7
580,7/8/1958,16,1958,7,8
581,7/9/1958,16.2,1958,7,9
582,7/10/1958,17.3,1958,7,10
583,7/11/1958,17.1,1958,7,11
584,7/12/1958,17.3,1958,7,12
585,7/13/1958,NaN,1958,7,13
586,7/14/1958,17.4,1958,7,14
587,7/15/1958,17.5,1958,7,15
588,7/16/1958,17.3,1958,7,16
589,7/17/1958,16.5,1958,7,17
590,7/18/1958,16,1958,7,18
591,7/19/1958,17.2,1958,7,19
592,7/20/1958,17.4,1958,7,20
593,7/21/1958,16.4,1958,7,21
594,7/22/1958,15.8,1958,7,22
595,7/23/1958,15.5,1958,7,23
596,7/24/1958,15.5,1958,7,24
597,7/25/1958,15.4,1958,7,25
598,7/26/1958,15,1958,7,26
599,7/27/1958,15.4,1958,7,27
600,7/28/1958,16,1958,7,28
601,7/29/1958,16.5,1958,7,29
602,7/30/1958,16.7,1958,7,30
603,7/31/1958,16.9,1958,7,31
604,8/1/1958,16.6,1958,8,1
605,8/2/1958,16.1,1958,8,2
606,8/3/1958,16.2,1958,8,3
607,8/4/1958,16.4,1958,8,4
608,8/5/1958,16.5,1958,8,5
609,8/6/1958,16.9,1958,8,6
610,8/7/1958,18.3,1958,8,7
611,8/8/1958,17.9,1958,8,8
612,8/9/1958,17,1958,8,9
613,8/10/1958,NaN,1958,8,10
614,8/11/1958,17.6,1958,8,11
615,8/12/1958,17.9,1958,8,12
616,8/13/1958,18.5,1958,8,13
617,8/14/1958,19,1958,8,14
618,8/15/1958,18.6,1958,8,15
619,8/16/1958,19,1958,8,16
620,8/17/1958,18.8,1958,8,17
621,8/18/1958,18.9,1958,8,18
622,8/19/1958,18.7,1958,8,19
623,8/20/1958,19,1958,8,20
624,8/21/1958,19.2,1958,8,21
625,8/22/1958,18.9,1958,8,22
626,8/23/1958,18.5,1958,8,23
627,8/24/1958,NaN,1958,8,24
628,8/25/1958,NaN,1958,8,25
629,8/26/1958,NaN,1958,8,26
630,8/27/1958,NaN,1958,8,27
631,8/28/1958,NaN,1958,8,28
632,8/29/1958,NaN,1958,8,29
633,8/30/1958,NaN,1958,8,30
634,8/31/1958,NaN,1958,8,31
635,9/1/1958,19,1958,9,1
636,9/2/1958,19.3,1958,9,2
637,9/3/1958,19.4,1958,9,3
638,9/4/1958,19.9,1958,9,4
639,9/5/1958,20.7,1958,9,5
640,9/6/1958,20,1958,9,6
641,9/7/1958,20.2,1958,9,7
642,9/8/1958,18.2,1958,9,8
643,9/9/1958,18.4,1958,9,9
644,9/10/1958,16.5,1958,9,10
645,9/11/1958,17.5,1958,9,11
646,9/12/1958,16.1,1958,9,12
647,9/13/1958,16.8,1958,9,13
648,9/14/1958,17.3,1958,9,14
649,9/15/1958,17.4,1958,9,15
650,9/16/1958,17.3,1958,9,16
651,9/17/1958,17.5,1958,9,17
652,9/18/1958,18.2,1958,9,18
653,9/19/1958,18.8,1958,9,19
654,9/20/1958,18.8,1958,9,20
655,9/21/1958,18.6,1958,9,21
656,9/22/1958,18.7,1958,9,22
657,9/23/1958,19,1958,9,23
658,9/24/1958,19,1958,9,24
659,9/25/1958,19.4,1958,9,25
660,9/26/1958,19.5,1958,9,26
661,9/27/1958,19.5,1958,9,27
662,9/28/1958,NaN,1958,9,28
663,9/29/1958,19.6,1958,9,29
664,9/30/1958,19.4,1958,9,30
665,10/1/1958,19.7,1958,10,1
666,10/2/1958,19.8,1958,10,2
667,10/3/1958,20,1958,10,3
668,10/4/1958,20,1958,10,4
669,10/5/1958,19.8,1958,10,5
670,10/6/1958,19.4,1958,10,6
